"13.064x6.086","12.116x7.015","13.945x6.999","12.987x7.011","15.011x7.984","12.05x8.018","13.048x7.992","13.917x7.99","17.979x8.976","12.087x9.011","13.035x8.988","18.96x8.988","14.006x8.991","16.959x8.987","15.026x9.034","15.891x9.021","10.832x9.842","20.017x9.935","18.881x9.944","13.989x9.976","17.947x9.973","13.05x9.981","12.087x9.969","17.083x9.985","15.932x9.991","15.023x9.995","10.839x10.825","21.901x10.865","12.052x10.965","17.961x10.952","20.978x10.943","20.022x10.956","16.953x10.961","14.99x10.969","15.938x10.973","13.023x10.971","13.944x10.971","18.963x10.983","10.771x11.828","21.919x11.831","9.93x11.897","12.076x11.946","20.057x11.907","14.007x11.929","18.016x11.914","20.924x11.93","15.013x11.946","12.947x11.944","18.977x11.94","16.92x11.959","15.985x11.959","23.173x11.994","10.825x12.819","21.948x12.829","9.84x12.905","17.95x12.914","12.033x12.953","17.003x12.93","20.968x12.923","13.989x12.929","13.056x12.951","15.967x12.94","14.95x12.947","18.958x12.952","20.058x12.958","23.163x12.991","24.047x12.98","10.856x13.816","21.936x13.836","20.019x13.927","24.048x13.918","9.869x13.925","23.186x13.954","12.079x13.975","21.002x13.957","14.056x13.983","18.986x13.956","12.977x13.984","15.988x13.991","17.946x13.987","8.961x13.999","14.933x14.014","16.968x14.018","10.804x14.812","21.929x14.815","9.9x14.901","13.974x14.92","12.073x14.943","8.986x14.924","19.037x14.939","13.009x14.939","20.026x14.939","20.962x14.937","15.032x14.954","17.898x14.961","23.147x14.989","24.065x14.96","25.088x14.97","16.981x14.977","15.961x15.002","10.813x15.813","21.933x15.832","9.024x15.892","9.859x15.891","17.026x15.904","20.94x15.903","20.058x15.905","18.986x15.922","24.065x15.914","12.087x15.936","17.904x15.93","23.151x15.957","7.838x15.948","13.009x15.928","13.963x15.931","25.125x15.947","15.886x15.933","15.028x15.945","10.805x16.797","21.916x16.862","9.916x16.903","17.026x16.937","20.067x16.937","8.904x16.944","12.064x16.97","20.928x16.945","7.875x16.968","13.056x16.97","15.029x16.966","13.932x16.983","18.987x16.982","17.903x16.988","24.03x16.982","15.932x16.991","23.182x17.022","25.162x17.003","21.952x17.765","10.814x17.814","20.889x17.845","17.058x17.888","20.066x17.875","12.052x17.924","17.852x17.906","12.996x17.933","8.994x17.924","14.012x17.927","7.872x17.927","15.975x17.934","14.942x17.937","24.165x17.942","9.881x17.95","18.913x17.944","23.167x17.96","25.187x17.953","10.827x18.871","22.001x18.878","16.915x18.905","16.01x18.899","12.063x18.937","20.003x18.905","20.888x18.913","17.992x18.906","13.925x18.921","15.001x18.914","9.836x18.924","18.934x18.939","8.964x18.954","6.858x18.958","7.896x18.975","24.184x18.981","23.168x18.997","25.051x19.012","10.825x19.853","21.988x19.915","9.024x19.913","16.977x19.914","17.981x19.923","12.041x19.951","13.052x19.947","15.953x19.945","20.078x19.95","9.826x19.955","18.932x19.956","7.851x19.971","14.944x19.977","20.902x20.001","6.82x20.0","23.17x20.031","24.161x20.051","25.03x20.066","10.829x20.839","21.905x20.859","5.783x20.878","9.892x20.924","8.994x20.917","20.056x20.922","6.913x20.929","7.865x20.926","13.076x20.933","12.041x20.949","15.967x20.931","17.941x20.935","18.921x20.946","16.971x20.941","13.943x20.952","20.986x20.949","14.972x20.96","23.163x20.996","24.106x20.99","10.835x21.817","21.931x21.928","9.844x21.948","23.14x21.977","17.922x21.966","24.13x21.961","16.948x21.972","20.997x21.978","16.023x21.985","20.023x21.994","19.055x21.996","14.914x22.014","14.015x22.018","12.136x22.047","12.993x22.024","10.852x22.836","21.935x22.865","13.988x22.927","16.939x22.916","17.983x22.922","12.073x22.963","20.986x22.935","13.035x22.945","20.028x22.962","15.997x22.955","15.001x22.972","18.984x23.0","24.106x23.025","23.199x23.049","18.986x23.916","21.955x23.827","13.931x23.897","16.98x23.889","17.994x23.903","13.048x23.91","20.137x23.921","15.951x23.917","15.053x23.923","20.949x23.957","23.158x24.002","21.953x24.847","20.98x24.963","20.063x24.964","19.007x25.045","21.957x25.871"
"GAPDH",12,7,15,8,4,15,6,2,6,5,2,1,6,18,14,3,5,5,6,1,10,7,3,5,2,6,2,6,26,6,2,4,13,5,5,9,2,3,0,14,12,12,15,10,4,11,3,13,3,12,16,20,8,14,11,7,17,6,72,10,14,9,9,29,51,56,41,26,26,38,6,2,49,23,68,11,56,17,3,10,15,5,8,6,51,7,1,7,22,67,8,9,44,5,5,24,22,19,3,7,6,26,10,9,8,7,7,28,29,7,13,5,3,1,7,2,1,3,13,6,12,13,5,9,4,6,4,1,4,4,6,43,3,4,5,3,3,7,4,15,0,5,18,5,22,3,20,6,12,5,6,9,5,5,7,4,9,2,2,6,1,4,0,0,3,6,25,2,15,1,1,3,6,2,17,1,2,9,3,1,0,9,5,7,5,0,1,1,0,1,1,1,2,2,18,1,3,18,3,4,2,1,1,2,2,3,1,3,1,2,5,2,5,0,1,5,2,5,2,2,0,3,2,4,5,1,1,3,4,4,6,1,5,0,2,6,0,0,4,1,1,1,4,2,3,4,1,0,2,0,3,0,1,5
"UBE2G2",0,0,1,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,5,0,0,0,0,1,0,0,2,0,0,0,0,0,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,0,2,1,1,0,0,1,0,0,0,2,0,1,5,1,0,0,0,0,0,0,0,1,0,1,1,0,0,1,1,0,0,5,0,1,0,0,1,0,0,1,1,1,0,0,1,1,1,0,0,0,0,0,5,0,0,1,0,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MAPKAPK2",6,1,4,0,1,3,0,1,0,0,0,3,1,0,3,0,1,1,2,0,1,1,0,3,0,1,2,1,1,3,2,1,1,0,1,3,1,1,0,2,1,7,3,2,0,3,0,0,0,4,1,0,1,0,0,4,3,1,3,3,1,3,0,0,3,6,2,6,4,5,1,0,1,2,1,2,10,3,1,4,1,6,1,3,1,2,0,3,1,5,1,0,2,2,0,1,0,1,0,0,1,9,1,1,1,0,0,1,1,0,0,0,2,0,1,0,0,0,1,0,0,2,0,1,0,1,0,0,1,0,0,6,1,0,0,0,0,0,0,7,2,0,5,1,1,1,1,0,1,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,2,0,1,0,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
"NDUFA7",0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,2,1,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,4,1,1,0,3,0,1,0,1,1,1,1,0,0,0,0,0,4,0,0,0,0,1,3,0,0,3,0,0,1,1,0,1,1,2,0,0,0,1,0,2,0,0,1,0,1,0,2,0,0,1,4,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,5,0,0,0,0,0,0,0,6,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,2,0,0,0,0,1,2,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"ASNA1",0,0,0,1,0,2,2,0,0,0,0,1,0,3,1,2,0,1,0,2,1,0,0,1,1,0,0,0,1,2,1,0,0,1,0,0,0,2,0,2,0,0,7,1,1,2,0,0,0,1,2,1,0,1,0,0,0,3,2,0,1,0,0,2,4,6,3,0,2,1,0,0,0,0,0,0,8,2,1,0,1,0,0,1,7,0,0,0,4,2,0,1,2,3,1,1,2,1,0,2,1,2,0,1,1,1,1,1,4,0,1,2,0,0,0,3,0,3,1,0,1,0,1,0,0,0,1,1,1,0,1,0,0,5,0,1,0,0,0,2,0,0,3,0,1,1,0,2,1,0,0,1,0,2,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CLASP1",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,2,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,3,0,0,1,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"INAFM1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,3,1,5,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MCL1",1,0,1,6,4,3,2,2,0,0,0,1,2,1,6,1,1,7,9,1,11,1,1,5,6,4,2,3,3,3,3,4,8,2,3,3,1,5,5,4,5,7,2,3,2,7,7,1,1,14,8,6,7,3,3,6,2,5,4,8,6,9,6,10,4,10,6,8,3,9,1,2,5,6,12,6,11,10,2,2,1,2,5,5,9,3,4,5,2,6,3,3,9,1,0,0,7,5,0,2,1,9,0,1,0,1,3,1,12,2,8,2,3,1,1,4,3,1,4,4,2,2,2,4,2,0,0,1,2,2,2,10,2,0,2,1,0,3,1,11,0,0,5,4,7,1,2,0,2,0,1,5,0,2,2,1,1,0,1,6,3,1,0,0,2,0,4,1,6,0,1,2,2,0,4,2,1,0,1,0,0,0,0,1,1,1,0,0,3,0,2,0,1,1,2,0,0,1,1,0,0,1,2,0,0,1,0,0,2,0,0,1,0,0,2,0,0,0,0,1,1,0,0,2,0,2,0,0,1,0,1,1,0,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0,1,0,0,1,0,1
"AP1G1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,2,0,2,0,0,2,0,1,1,0,1,0,1,0,0,0,1,0,1,0,0,1,0,4,0,0,0,0,1,1,3,1,0,0,1,0,1,0,3,0,0,2,0,0,0,0,4,0,0,0,2,0,0,0,1,1,0,0,0,8,0,0,0,2,1,0,3,0,0,0,3,0,0,0,0,0,1,1,1,0,0,2,0,0,0,0,0,0,4,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SEMA3B",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
