"17.907x4.967","18.965x5.003","18.954x5.995","17.846x5.993","20.016x6.019","20.889x6.956","20.062x6.974","16.98x6.989","17.918x6.991","18.877x6.984","21.847x7.896","20.901x7.965","23.118x7.985","19.974x7.988","17.904x8.003","18.948x8.031","16.753x8.02","21.849x8.887","20.936x8.944","17.928x8.984","23.097x9.011","24.076x8.991","18.939x9.0","19.925x8.992","14.901x9.04","15.971x9.014","16.783x9.018","21.892x9.87","20.806x9.928","24.931x9.981","23.152x10.0","17.922x9.987","20.05x9.97","13.961x10.011","24.085x9.99","18.824x9.985","16.029x10.012","16.909x10.017","14.907x10.046","21.86x10.874","23.039x10.98","20.87x10.952","24.057x10.967","20.003x10.972","25.949x10.985","24.917x10.977","17.897x10.988","16.889x11.002","14.947x11.026","18.899x11.016","13.894x11.02","15.936x11.026","21.842x11.852","20.926x11.911","24.038x11.933","19.951x11.941","27.002x11.945","18.948x11.948","23.062x11.974","17.92x11.965","13.936x11.976","14.955x11.98","12.987x11.976","16.905x11.977","24.959x11.972","15.934x11.99","25.961x11.983","21.868x12.876","20.89x12.932","20.014x12.947","23.072x12.973","12.005x12.982","18.886x12.964","24.06x12.946","13.036x12.962","27.013x12.96","25.988x12.971","14.956x12.986","15.962x12.984","24.93x12.97","16.854x13.001","13.903x13.006","21.817x13.865","20.927x13.924","25.966x13.953","12.021x13.982","13.035x13.956","18.961x13.959","19.962x13.959","23.04x13.975","24.057x13.963","17.865x13.959","27.973x13.971","24.967x13.956","26.982x13.977","13.894x13.982","14.959x13.987","16.874x14.013","15.976x14.037","21.844x14.835","20.896x14.894","19.996x14.918","12.062x14.964","18.909x14.952","23.049x14.968","24.066x14.942","24.985x14.951","25.95x14.954","13.006x14.964","16.893x14.966","17.929x14.951","13.941x14.978","26.999x14.966","15.947x14.985","27.865x14.971","10.821x15.855","21.908x15.857","23.065x15.944","27.004x15.931","28.956x15.926","24.043x15.936","27.94x15.929","20.869x15.941","9.81x15.939","25.018x15.941","19.985x15.957","18.929x15.97","13.866x15.962","11.987x15.985","13.068x15.967","14.979x15.978","15.909x15.981","16.925x16.002","25.934x16.023","17.846x16.113","10.825x16.832","21.849x16.849","9.852x16.928","14.912x16.965","23.082x16.936","20.946x16.93","27.986x16.946","18.982x16.954","8.932x16.965","12.022x16.995","26.945x16.965","28.908x16.97","17.887x16.976","15.924x16.989","25.969x16.987","16.909x16.994","19.898x16.997","24.05x17.0","12.996x17.01","24.967x17.011","21.815x17.836","20.945x17.896","7.924x17.928","9.861x17.931","26.974x17.926","27.959x17.923","19.947x17.924","12.029x17.967","18.92x17.932","23.031x17.956","24.042x17.945","16.908x17.951","17.895x17.949","8.948x17.955","15.934x17.959","12.999x17.964","13.95x17.967","25.943x17.973","24.993x17.972","14.936x17.987","21.841x18.845","13.049x18.94","20.947x18.93","24.067x18.934","20.002x18.943","23.052x18.956","27.94x18.942","11.999x18.982","17.864x18.951","26.968x18.952","16.921x18.963","24.977x18.95","25.948x18.959","18.887x18.959","13.909x18.965","15.948x18.987","14.926x18.999","21.886x19.83","23.058x19.956","18.964x19.945","26.946x19.955","13.944x19.962","17.855x19.956","24.065x19.964","25.957x19.97","20.913x20.004","12.951x20.01","19.98x20.008","14.988x20.004","15.896x20.044","25.02x20.153","23.077x20.97","20.116x20.962","17.867x20.954","18.946x20.962","26.997x20.955","15.989x20.983","24.046x20.982","25.964x20.984","13.905x21.008","14.877x21.028","24.985x21.028","20.964x21.73","21.88x21.822","20.018x21.924","17.893x21.953","18.957x21.952","24.12x21.952","16.919x21.976","23.026x21.989","24.951x21.959","15.97x21.986","14.981x22.004","25.921x21.976","13.918x22.022","21.874x22.847","20.985x22.91","17.898x22.932","18.963x22.952","19.952x22.955","23.099x22.977","15.984x22.97","16.933x22.967","26.021x22.977","24.088x22.99","24.957x23.019","21.894x23.851","18.937x23.952","20.925x23.924","20.019x23.934","24.055x23.946","23.094x23.975","24.981x23.964","21.874x24.852","23.096x24.93","24.076x25.951"
"GAPDH",1,7,5,1,2,9,4,4,3,4,2,8,0,15,5,2,2,20,4,8,15,14,2,8,3,1,6,4,14,8,11,20,7,2,9,5,11,9,15,5,14,11,9,6,3,2,7,32,20,5,3,20,21,9,19,20,14,12,9,11,7,50,17,19,13,15,9,7,11,4,20,24,3,33,17,13,4,6,5,14,11,1,13,9,9,33,10,5,4,9,6,6,13,19,19,6,4,5,1,8,5,3,33,4,3,8,17,10,18,1,5,15,21,12,2,7,10,5,38,13,15,21,19,3,8,14,1,12,42,23,6,1,6,14,3,26,8,3,1,4,9,5,11,3,29,11,1,3,0,20,8,7,15,15,2,6,11,1,0,4,4,23,9,14,3,6,4,6,4,6,4,7,8,6,29,9,2,4,1,7,2,4,9,4,6,1,5,3,4,3,4,9,7,0,4,2,0,3,2,3,2,1,3,4,3,5,5,1,3,1,6,1,6,1,4,2,6,10,3,0,2,2,5,1,4,4,2,2,10,1,3,3,4,2,8,7,3,0,1,2,0,4,7,1,5,0,4,4,4,2,1
"USP4",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,5,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,5,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MAPKAPK2",1,1,0,0,1,0,0,1,0,0,2,1,0,0,0,0,0,1,2,1,3,0,0,3,1,0,1,0,0,1,0,0,3,0,0,1,0,3,1,6,1,1,1,0,0,0,1,4,4,2,1,0,1,2,2,1,0,1,3,3,1,2,1,1,3,1,3,0,0,0,1,1,3,3,2,1,0,0,1,1,1,0,0,0,0,3,1,0,0,0,1,0,0,1,0,0,0,7,3,0,0,0,1,0,0,0,3,0,6,1,1,1,2,0,0,1,0,0,2,2,0,1,1,1,1,1,0,1,7,0,0,0,0,3,1,0,0,0,0,0,2,2,2,0,4,1,0,0,0,1,1,0,1,1,0,0,1,0,0,0,1,4,5,1,0,1,0,1,2,2,0,1,0,0,8,0,0,1,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CPEB1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LANCL2",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MCL1",2,0,2,2,2,3,0,2,1,1,2,1,0,2,0,2,2,9,6,3,11,7,3,4,2,1,2,7,12,5,8,5,3,1,2,3,6,5,3,3,5,7,2,2,1,4,4,5,5,4,2,2,12,9,5,4,2,5,7,1,2,7,4,5,7,2,7,5,3,4,4,5,4,12,5,1,0,1,4,6,6,1,3,0,3,3,6,1,0,14,8,1,2,3,5,0,2,1,1,2,1,0,5,1,1,7,8,1,3,0,1,3,7,2,1,2,2,2,9,6,4,10,5,1,5,2,1,0,9,3,1,0,0,6,1,1,8,0,1,0,0,5,4,1,6,5,4,2,2,5,1,3,0,1,0,4,2,1,0,0,3,5,2,9,0,3,0,0,1,2,1,0,0,1,3,1,3,1,0,0,1,0,2,0,2,1,1,0,2,0,1,1,0,0,0,1,1,1,0,1,2,0,0,1,0,2,0,2,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,2,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,3,0,1,0,0,0,1,1,0,0,0
"TMEM109",0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,2,0,0,0,0,1,0,0,1,0,0,2,2,2,1,1,0,0,1,0,6,0,0,1,0,0,0,0,1,0,2,0,0,1,0,2,0,0,0,3,0,1,5,0,0,0,1,0,1,0,1,1,0,0,0,1,2,0,4,0,0,1,0,0,0,0,0,0,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,5,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,1,1
"TMEM189",0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,3,0,0,0,0,0,1,0,2,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,1,0,0,0,2,0,0,3,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"ITPK1",0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,1,1,0,0,0,3,1,0,0,0,0,0,0,1,0,1,1,0,0,0,1,1,1,0,0,0,2,0,1,0,0,4,0,1,0,1,0,1,0,0,0,0,2,1,1,0,0,0,2,0,1,0,0,1,2,1,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,1,4,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"UBXN11",0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,1,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2,3,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
