"23.19x8.03","21.91x8.945","23.14x9.057","16.94x9.036","15.08x9.052","15.923x9.062","21.953x9.917","23.217x10.031","15.066x10.026","17.975x10.023","13.997x10.029","13.067x10.032","18.905x10.014","16.978x10.032","16.035x10.042","20.064x10.029","18.988x10.882","21.894x10.882","10.9x10.966","20.978x10.96","20.026x10.981","23.144x11.007","9.878x11.025","17.961x10.997","12.097x11.03","16.945x11.013","12.988x11.02","14.049x11.02","14.97x11.039","15.996x11.029","21.902x11.876","10.819x11.906","20.127x11.949","18.948x11.982","9.918x11.98","12.1x12.027","14.008x12.005","13.051x12.001","9.026x12.0","17.966x11.997","15.034x12.009","20.959x12.004","16.994x12.015","23.198x12.041","21.916x12.895","10.894x12.913","20.061x12.953","17.915x12.951","20.979x12.956","9.041x12.957","18.989x12.975","23.191x13.006","5.921x12.991","17.002x12.98","12.111x13.017","9.873x12.989","14.008x12.992","6.944x13.003","7.853x12.993","13.028x13.006","15.982x13.007","24.049x13.007","14.974x13.011","21.935x13.915","10.832x13.965","6.93x13.988","24.104x13.985","23.158x14.011","20.957x14.0","20.128x14.004","7.919x14.027","9.023x14.02","9.925x14.03","18.991x14.062","16.994x14.048","12.095x14.069","16.007x14.051","14.956x14.063","17.917x14.067","14.041x14.078","13.071x14.093","21.958x14.851","10.862x14.892","20.916x14.963","7.879x14.978","9.063x14.976","17.977x14.973","6.959x14.974","16.934x14.977","9.914x14.989","12.111x15.026","15.998x14.998","20.093x14.993","13.006x15.009","23.164x15.021","15.045x15.019","24.129x15.047","21.922x15.879","10.82x15.892","20.983x15.932","20.018x15.941","18.999x15.959","9.026x15.958","9.953x15.949","6.959x15.959","23.189x15.998","24.114x15.977","17.014x15.978","18.005x15.962","7.903x15.978","13.996x15.98","13.07x15.984","12.074x16.014","15.03x15.989","15.978x15.997","21.927x16.898","10.885x16.933","16.992x16.963","20.917x16.977","7.915x16.987","17.949x16.989","6.938x16.995","9.017x16.991","23.18x17.007","9.863x17.005","18.975x17.013","20.097x17.006","14.012x17.029","15.974x17.027","12.101x17.058","13.035x17.042","14.987x17.052","24.028x17.067","21.899x17.873","10.866x17.897","17.916x17.958","20.961x17.942","9.938x17.97","17.001x17.975","20.089x17.971","8.973x17.982","7.965x17.985","6.875x18.004","18.978x18.003","13.987x18.01","15.009x18.014","15.985x18.016","23.173x18.023","13.073x18.017","12.092x18.053","24.036x18.03","21.909x18.845","9.006x18.925","10.832x18.958","20.103x18.952","20.978x18.954","17.05x18.959","17.903x18.961","18.945x18.982","12.113x19.004","23.173x18.99","9.91x18.971","13.99x18.976","13.036x18.99","15.959x18.985","24.094x18.984","15.022x18.993","7.89x19.028","21.948x19.901","10.842x19.907","20.951x19.984","20.069x19.988","9.058x19.998","19.01x20.01","16.926x20.015","23.176x20.025","14.052x20.011","7.87x20.018","16.015x20.022","12.987x20.036","12.113x20.056","24.128x20.041","14.955x20.053","17.961x20.062","9.967x20.111","21.932x20.881","10.877x20.916","9.911x20.964","9.045x20.969","19.026x20.974","17.037x20.97","20.082x20.973","17.896x20.982","13.062x20.989","23.148x21.004","13.975x20.996","15.964x20.999","20.924x21.0","15.062x21.012","12.122x21.033","24.175x21.02","24.972x21.072","21.957x21.903","10.855x21.949","17.951x21.945","17.054x21.97","19.026x21.977","23.16x21.998","20.936x21.986","12.165x22.017","20.1x21.988","9.929x21.998","24.074x21.998","16.054x22.014","14.067x22.016","13.016x22.024","14.916x22.03","9.004x22.029","21.939x22.896","10.93x22.914","23.18x23.023","20.959x22.974","20.09x22.988","9.072x22.999","9.894x23.009","19.005x23.012","18.021x23.019","14.0x23.025","16.036x23.024","16.984x23.031","15.018x23.031","24.147x23.029","12.124x23.068","25.091x23.07","13.072x23.08","19.014x23.931","21.948x23.872","10.889x23.881","20.968x23.96","9.911x23.982","16.095x23.98","17.017x23.979","17.99x23.979","20.138x23.988","14.013x23.987","14.978x23.994","13.091x24.002","24.11x24.018","12.11x24.043","25.065x24.027","23.165x24.07","21.928x24.926","14.011x24.994","21.044x24.999","23.214x25.027","20.06x25.023","13.174x25.027","19.002x25.031","17.98x25.037","25.056x25.042","16.034x25.045","15.0x25.056","17.039x25.058","24.192x25.058"
"GAPDH",0,16,11,2,4,4,3,10,5,10,2,0,2,1,2,70,3,17,3,61,9,10,3,3,1,11,3,5,2,10,40,1,13,1,3,12,7,6,0,46,5,8,2,15,60,1,10,36,18,2,13,43,6,4,5,1,3,1,0,5,8,8,3,18,5,2,3,80,5,2,0,3,1,15,3,3,2,5,10,3,5,5,2,13,2,3,1,2,3,1,2,10,7,1,8,13,2,9,4,10,32,4,4,2,9,10,53,5,10,8,4,2,3,45,11,3,6,12,2,6,14,0,1,6,3,2,9,7,3,6,3,30,6,8,6,3,10,2,9,3,10,2,1,6,7,16,2,9,6,1,5,14,5,2,8,10,5,4,3,4,8,6,3,1,7,4,9,3,11,10,5,5,0,5,8,8,6,1,1,12,2,3,11,5,9,6,11,2,0,12,9,7,5,13,2,10,13,12,16,18,1,3,7,12,3,9,5,5,10,9,7,2,11,7,20,15,9,2,8,15,9,5,10,7,21,11,10,4,7,9,9,9,31,3,5,43,18,18,16,21,4,21,17,5,9,4,8,11,18,5,15,11,12,14,15,7,16,9,16,13,6,20,18,12
"AHCY",0,2,3,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,4,0,0,0,2,0,0,0,1,1,1,2,0,0,0,1,0,0,0,1,0,0,1,2,0,1,2,0,0,0,0,0,0,4,1,1,0,0,2,1,0,0,0,0,3,0,0,0,0,3,0,3,0,1,0,2,0,0,3,0,2,0,1,0,0,2,2,1,0,0,1,0,0,1,0,1,1,1
"NDUFA7",0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,2,0,0,1,1,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,1,0,4,0,1,2,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,0,0,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2,0,1,0,0,0,0,1,0,1,1,0,0,0,0,4,0,0,0,0,0,0,1,1,0,3,0,0,0,0,0,0,1,0,0,0,2,0,2,0,1,0,0,1,1,0,0,0,0,0,0,0,1,1,1,0,0,1,1,1,0,0,2,2,2
"RPL35",0,8,1,4,7,0,8,3,4,0,2,1,4,2,2,28,4,16,0,17,5,1,2,1,6,3,3,2,5,1,10,2,5,0,1,2,5,0,2,0,2,7,5,1,16,0,1,4,11,0,4,10,0,4,1,1,0,0,1,3,3,5,1,2,0,3,2,19,5,2,7,6,1,10,0,0,1,0,5,3,0,4,3,4,2,2,2,1,2,1,2,3,3,1,8,4,3,0,2,1,6,1,4,3,2,1,17,2,0,7,0,3,1,5,3,0,3,5,2,4,10,0,1,4,3,2,2,1,0,1,3,13,3,2,3,2,2,5,1,2,17,11,0,2,1,17,2,4,0,3,4,1,6,0,1,5,0,6,3,3,1,1,1,3,4,1,6,10,3,5,1,3,2,1,3,14,0,0,1,9,1,0,10,5,11,3,3,5,1,3,2,4,2,5,4,9,6,2,4,5,0,0,0,3,1,2,3,6,4,2,4,6,9,2,6,7,4,2,3,4,1,2,3,1,5,2,9,2,0,2,4,6,5,0,5,18,7,9,13,3,2,2,8,1,4,1,1,5,5,0,3,3,4,2,1,5,11,1,5,5,1,10,8,2
"MNDA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"EIF5AL1",0,1,0,1,0,0,0,0,3,0,1,0,1,0,0,4,0,2,0,2,1,1,2,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,5,0,7,1,0,1,1,1,3,0,0,0,2,0,1,1,0,0,2,0,0,1,1,1,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,2,0,0,1,0,5,4,0,0,0,0,0,1,1,1,2,0,0,1,1,0,1,0,0,0,0,0,0,0,0,6,1,0,1,1,2,0,2,0,1,2,2,2,0,1,0,2,1,2,0,1,0,1,0,1,0,1,1,0,0,0,0,3,0,1,0,1,3,1,0,0,0,0,0,1,0,1,0,1,1,1,0,0,1,0,0,1,0,0,1,1,0,0,0,1,1,4,2,1,0,0,2,1,0,1,2,4,0,1,0,0,3,1,1,1,0,1,1,3,2,1,2,0,0,0,1,0,0,2,1,2,2,1,0,7,2,1,0,2,2,0,6,1,1,2,1,0,1,0,0,1,0,1,1,1,2,1,2,1,1,0,4,0
"SIVA1",0,1,3,0,1,0,0,1,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,1,0,0,0,0,1,0,4,0,7,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,2,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,0,0,0,0,2,0,1,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,0,1,1,0,0,0,1,0,1,3,0,0,0,0,1,0,1,0,2,0,1,1,0,0,0,0,0,0,1,0,1,1,1,1,0,0,1,0,5,0,1,0,1,0,0,0,0,1,0,2,1,3,0,0,0,0,0,0,0,2,2,2,0,1,2,1,0
"MCL1",0,2,1,0,1,0,1,0,0,0,1,0,0,0,0,4,0,2,0,3,0,0,1,0,1,1,0,0,0,1,9,0,2,0,2,0,0,1,0,3,2,1,0,2,9,0,1,2,6,0,1,6,1,3,1,0,0,1,2,2,0,1,0,2,0,0,1,5,1,1,0,0,0,0,0,0,0,0,0,2,0,2,1,2,0,1,0,1,0,0,1,0,0,0,1,4,1,0,0,4,0,0,2,0,0,1,2,0,3,3,0,0,0,6,2,0,2,2,0,0,2,0,0,2,0,0,3,3,1,2,1,11,0,0,0,2,2,0,1,6,2,0,2,0,0,8,0,1,0,0,2,1,0,1,0,2,0,1,0,4,4,0,1,2,1,2,1,1,9,5,0,1,1,3,4,3,2,0,1,1,1,5,4,3,3,1,6,0,4,1,0,3,1,4,2,1,7,5,6,7,3,1,0,3,8,7,4,0,2,2,2,2,2,4,1,7,6,0,2,7,1,1,2,1,7,6,7,1,5,10,16,1,21,2,3,22,2,3,3,9,3,9,11,5,1,1,1,2,18,1,2,5,0,4,1,6,5,4,5,0,1,12,7,4
"KLF8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PSMB2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,2,1,4,0,0,0,4,1,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,2,0
