"18.89x8.958","17.902x8.962","13.029x9.008","16.824x8.995","13.948x9.022","15.955x9.009","12.083x9.046","14.875x9.055","21.896x9.877","20.855x9.924","19.958x9.956","17.894x9.98","23.115x10.004","13.966x10.0","18.89x9.98","16.893x9.996","15.989x10.004","14.881x10.012","21.896x10.867","20.873x10.931","18.935x10.951","24.065x10.956","19.935x10.979","17.894x10.962","11.982x11.001","12.906x10.983","15.924x10.983","23.071x11.011","14.867x10.994","16.882x10.992","14.017x10.994","21.846x11.858","20.909x11.915","18.993x11.953","29.971x11.948","12.956x11.962","16.9x11.964","17.87x11.964","25.966x11.968","13.93x11.979","23.112x11.979","15.945x11.985","25.011x11.975","12.013x12.035","14.939x12.01","24.038x11.995","21.878x12.864","20.897x12.912","18.948x12.938","29.002x12.948","17.84x12.946","19.978x12.957","25.978x12.949","13.898x12.954","16.931x12.955","24.118x12.95","27.981x12.953","29.959x12.946","12.958x12.961","27.029x12.96","12.017x12.991","24.996x12.945","14.921x12.973","15.927x12.98","23.049x12.999","21.884x13.911","26.019x13.932","28.901x13.918","26.986x13.938","23.077x13.96","24.067x13.942","28.017x13.946","17.904x13.966","20.862x13.951","24.987x13.95","16.886x13.964","20.022x13.978","18.926x14.008","15.959x14.021","12.963x14.02","13.911x14.031","12.015x14.063","14.955x14.042","21.872x14.848","10.788x14.862","20.905x14.903","20.004x14.947","28.99x14.915","13.007x14.955","16.921x14.946","17.851x14.945","18.951x14.954","27.04x14.943","15.946x14.957","25.008x14.962","14.883x14.97","25.928x14.96","27.933x14.959","12.015x15.001","13.938x14.975","23.047x15.002","21.863x15.829","10.788x15.853","20.873x15.898","24.111x15.914","20.0x15.92","26.052x15.926","13.019x15.938","17.878x15.936","24.955x15.933","27.98x15.94","14.005x15.934","15.974x15.938","16.922x15.942","18.903x15.951","14.821x15.959","26.993x15.964","23.055x15.981","11.953x16.015","10.765x16.861","21.897x16.89","14.966x16.872","27.962x16.953","20.088x16.95","17.917x16.954","20.845x16.967","27.039x16.965","16.904x16.984","18.873x16.983","15.931x16.995","11.987x17.045","25.938x17.02","23.12x17.044","25.047x17.021","23.994x17.038","13.017x17.034","13.843x17.038","10.804x17.841","21.86x17.855","20.019x17.914","20.898x17.917","17.889x17.923","12.013x17.983","27.077x17.934","18.907x17.944","27.93x17.95","24.102x17.954","12.979x17.963","14.908x17.958","15.971x17.964","13.92x17.976","24.969x17.977","16.868x18.003","25.965x17.992","23.088x18.045","21.874x18.858","10.799x18.916","17.864x18.891","19.964x18.915","20.897x18.921","18.967x18.924","23.074x18.944","16.957x18.929","12.953x18.945","15.864x18.942","25.997x18.936","27.018x18.936","13.936x18.948","25.018x18.946","12.007x18.987","14.948x18.96","24.041x18.976","10.792x19.839","21.892x19.879","20.892x19.929","17.873x19.945","19.99x19.95","18.945x19.96","26.955x19.963","24.096x19.971","15.956x19.985","14.923x19.996","23.043x20.008","16.872x19.995","13.882x20.015","25.043x20.019","25.936x20.021","11.997x20.052","13.012x20.038","21.894x20.824","20.922x20.91","17.904x20.932","18.96x20.935","19.948x20.936","15.971x20.946","12.985x20.966","26.011x20.947","16.869x20.948","13.974x20.963","14.866x20.976","24.973x20.978","11.982x21.037","23.049x21.043","20.938x21.889","24.108x21.912","21.885x21.944","24.982x21.928","17.885x21.942","25.979x21.928","16.95x21.948","23.03x21.962","20.0x21.968","18.992x21.975","13.979x21.994","15.903x21.999","12.935x22.01","14.933x22.017","21.896x22.827","17.871x22.914","20.921x22.916","18.967x22.931","16.953x22.944","19.978x22.978","15.962x22.982","13.927x22.986","14.92x22.998","24.994x23.003","24.067x23.02","23.141x23.055","21.896x23.828","18.947x23.947","20.914x23.887","16.895x23.922","17.971x23.917","19.961x23.92","24.071x23.926","15.958x23.949","14.9x23.958","23.107x23.966","25.072x24.0","21.916x24.876","20.878x24.953","17.907x24.957","25.035x24.994","20.011x24.995","18.953x24.999","23.133x25.029","16.882x25.027","24.027x25.013","21.922x25.827","20.919x25.919","17.907x25.925","18.966x25.943","19.953x25.958","24.14x26.014","23.056x26.045","21.928x26.848","20.967x26.926","24.127x26.972","23.062x27.052","21.924x27.865","23.149x28.039"
"MAPKAPK2",0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,1,2,0,0,0,0,0,2,0,8,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,2,0,1,1,3,0,0,4,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,1,0,1,0,2,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,1,0,0,3,0,0,1,0,0,0,0,1,0,0,1,0,4,1,0,12,0,0,2,0,10,0,5,0,0,4,0,0,0,1,4,3,7,5,3,0,5,6,5,1,0,1,0,0,2,0,1,1,4,1,5,0,2,2,2,3,2,2,1,2,0,1,9,1,0,2,1,0,5,3,0,4,0,26,3,5,1,2,4,2,8,1,1,5,1,0,0,0,1,1,0,1,1,0,4,0,3,1,1,0,2,3,1,1,0
"SLC39A8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NDUFA7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,6,0,0,0,1,0,0,0,0,0,3,0,1,0,0,0,1,1,0,0,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,0,2,1,0,0,0,0,0,5,4,0,3,0,0,0,0,2,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,2,1,0,5,1,0,0,1,0,0,2,0,1,1,0,0,0,0,1,0,1,0,1,0,0,0,1,1,1,0,0,0,0,0,0
"GJC3",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,2,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
"ARPC5L",0,0,0,0,1,0,0,1,0,2,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,5,0,0,0,0,0,0,1,0,0,1,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,2,2,2,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,2,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,2,0,0,5,2,0,0,0,0,1,2,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0
"TMEM109",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,5,0,0,0,0,0,2,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,1,0,0,0,4,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,1,0,0,0,2,0,3,0,0,0,2,2,3,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,1,1,0,2,0,1,0,0,0,0,4,0,0,2,1,0,0,0,0,0,0,0,1,2,0,1,1,0,0,0,1,0,0,0,0
"COL5A1",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,4,0,0,0,2,1,0,0,6,2,2,3,0,2,2,0,0,0,0,1,1,2,1,1,0,1,0,0,1,6,0,1,1,0,0,0,3,5,2,4,4,3,0,3,4,0,1,4,3,1,2,4,4,0,0,0,0,1,5,6,1,0,1,3,0,3,3,3,1,0,2,0,5,4,2,0,2,3,1,1
"UBXN11",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,1,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,1,0,0,0,4,0,0,1,2,2,0,0,0,0,0,0,0,1,0,0,0,3,1,0,3,0,0,0,1,0,1,0,1,0,2,1,1,0,0,2,2,1,1,1,2,1,0,3,1,0,0,2,0,1,0,0,0,3,0,7,1,0,1,1,0,1,2,2,1,1,0,1,0,0,0,1,1,0,1,1,1,2,0,0,1,0,0,0,0,1,1
"SHFM1",0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,1,0,1,1,0,0,0,3,1,0,0,2,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,3,1,0,1,0,0,0,0,0,0,1,0,0,0,1,2,0,2,0,0,0,0,0,0,0,0,0,1,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,2,1,0,0,0,2,1,0,0,0,0,1,2,3,1,0,0,0,0,0,4,0,0,1,0,0,2,3,0,1,1,3,1,0,1,2,2,1,0,1,0,0,1,3,1,1,1,3,1,0,4,2,2,0,0,18,1,2,1,2,2,2,5,4,1,1,1,0,0,0,0,0,1,0,2,2,0,0,4,0,1,0,2,0,4,1,0
"PAK4",1,0,1,1,0,1,0,2,0,1,4,0,1,0,1,1,0,0,0,1,0,0,1,0,4,4,2,1,0,1,0,2,0,0,0,0,0,0,0,3,0,1,0,2,0,0,0,0,1,1,0,1,1,0,0,0,0,3,1,0,0,0,1,0,0,1,2,0,3,2,3,0,1,0,0,1,1,0,0,0,1,1,0,0,2,3,0,0,1,0,0,0,3,0,0,0,1,4,0,0,0,1,0,0,0,0,3,0,0,0,2,4,2,0,1,0,10,1,0,1,1,0,1,0,1,0,5,0,0,0,0,0,0,3,2,2,1,1,1,1,1,0,2,1,1,0,0,0,0,0,2,0,1,1,1,0,15,0,0,1,0,0,0,8,1,1,1,1,0,12,0,0,8,2,1,3,0,1,0,1,0,0,0,1,2,1,1,13,11,2,1,4,1,1,0,31,1,1,0,4,1,13,0,4,1,4,2,3,3,6,1,2,6,0,5,0,0,1,2,3,4,1,0,0,0,12,2,2,2,1,27,2,2,2,2,0,3,7,0,2,3,1,5,0,0,1,0,2,0,1,3,2,0,0,0,1,0,0,0,1,6,0
