x	y	new_x	new_y	pixel_x	pixel_y	selected
1	1	1.00	0.97	1342.6	354.0	0
1	3	0.99	2.97	1341.3	595.3	0
1	5	1.00	4.98	1342.4	836.3	0
1	7	1.01	6.98	1343.6	1076.9	0
1	9	1.01	8.98	1343.4	1317.6	0
1	11	1.00	10.98	1342.5	1558.4	0
1	13	0.99	12.98	1341.2	1798.6	0
1	15	1.00	14.97	1342.5	2039.1	0
1	17	1.01	16.97	1343.2	2278.9	0
1	19	1.01	18.96	1343.3	2518.9	0
1	21	1.00	20.97	1341.8	2759.9	0
1	23	1.00	22.97	1342.4	3000.8	0
1	25	1.01	24.98	1343.1	3242.4	0
1	27	1.02	26.98	1344.3	3482.7	0
1	29	0.99	28.97	1341.5	3722.1	0
1	31	1.00	30.96	1342.6	3962.2	0
1	33	1.01	32.97	1343.1	4203.5	0
1	35	1.02	34.96	1344.1	4443.6	0
1	37	0.98	36.95	1340.5	4682.7	0
1	39	1.00	38.96	1342.7	4924.3	0
1	41	1.00	40.97	1342.4	5165.4	0
1	43	1.01	42.97	1343.4	5406.2	0
1	45	0.98	44.95	1340.4	5644.6	0
1	47	1.00	46.95	1341.9	5885.0	0
1	49	0.99	48.96	1341.3	6126.6	0
1	51	1.01	50.95	1343.0	6366.8	0
1	53	0.98	52.96	1339.9	6607.9	0
1	55	0.99	54.96	1341.3	6848.5	0
1	57	0.99	56.95	1341.5	7088.5	0
1	59	1.01	58.95	1342.8	7329.1	0
1	61	0.98	60.95	1339.8	7569.4	0
1	63	0.99	62.95	1341.2	7809.7	0
2	2	2.04	2.00	1454.1	478.0	0
2	4	2.01	4.01	1451.2	720.1	0
2	6	2.04	5.98	1455.1	957.0	0
2	8	2.04	8.00	1454.7	1199.6	0
2	10	2.05	10.00	1456.1	1440.2	0
2	12	2.01	12.01	1450.9	1682.5	0
2	14	2.07	14.03	1457.9	1925.1	0
2	16	2.05	15.99	1455.7	2161.8	0
2	18	2.06	17.99	1456.7	2401.3	0
2	20	2.03	20.03	1453.8	2647.3	0
2	22	2.04	22.01	1454.9	2885.9	0
2	24	2.04	24.01	1454.7	3125.6	0
2	26	2.07	26.04	1457.7	3369.6	0
2	28	2.00	28.01	1450.3	3606.9	0
2	30	2.02	29.99	1452.8	3845.1	0
2	32	2.03	31.99	1453.3	4086.3	0
2	34	2.05	34.00	1455.2	4327.0	0
2	36	2.02	36.00	1452.1	4568.3	0
2	38	2.03	38.01	1453.4	4810.0	0
2	40	2.03	40.01	1453.8	5050.0	0
2	42	2.05	42.02	1455.2	5291.8	0
2	44	2.01	44.00	1451.4	5530.6	0
2	46	2.02	45.99	1452.0	5770.2	0
2	48	2.02	48.00	1451.9	6011.5	0
2	50	2.03	50.01	1453.2	6253.4	0
2	52	2.02	52.00	1452.8	6493.3	0
2	54	2.00	54.00	1450.8	6732.9	0
2	56	2.02	55.99	1452.4	6973.1	0
2	58	2.03	57.99	1453.6	7213.1	0
2	60	2.01	59.99	1451.1	7454.2	0
2	62	2.01	61.99	1451.5	7694.8	0
3	1	3.03	0.99	1562.1	356.7	0
3	3	2.99	2.99	1557.8	597.5	0
3	5	3.01	5.00	1559.4	839.8	0
3	7	3.06	6.98	1564.3	1077.5	0
3	9	3.04	8.98	1563.2	1317.9	0
3	11	3.04	11.00	1563.2	1560.6	0
3	13	3.05	13.03	1564.1	1805.6	0
3	15	3.06	15.03	1564.3	2045.5	0
3	17	3.04	17.01	1562.3	2283.4	0
3	19	3.04	18.99	1562.4	2522.6	0
3	21	3.04	21.02	1562.2	2765.9	0
3	23	3.06	23.01	1564.3	3005.3	0
3	25	3.04	25.01	1562.8	3246.7	0
3	27	3.05	27.00	1563.7	3485.9	0
3	29	3.02	29.00	1560.8	3725.8	0
3	31	3.02	30.99	1560.9	3965.7	0
3	33	3.06	33.01	1565.3	4208.6	0
3	35	3.06	35.00	1564.7	4448.1	0
3	37	3.03	37.01	1561.3	4689.4	0
3	39	3.04	39.01	1562.6	4930.4	0
3	41	3.03	41.02	1561.9	5171.9	0
3	43	3.05	43.01	1563.9	5411.3	0
3	45	3.01	45.00	1559.9	5650.5	0
3	47	3.02	46.99	1560.5	5889.9	0
3	49	3.02	49.01	1560.9	6132.7	0
3	51	3.04	51.00	1562.8	6372.7	0
3	53	3.01	53.01	1559.5	6614.3	0
3	55	3.01	55.00	1560.0	6853.2	0
3	57	3.02	56.99	1560.6	7093.4	0
3	59	3.04	58.99	1562.6	7333.1	0
3	61	3.00	61.00	1558.0	7575.1	0
3	63	3.00	62.98	1558.6	7813.6	0
4	2	4.04	1.98	1670.8	475.8	0
4	4	4.00	4.01	1666.2	720.1	0
4	6	4.05	5.98	1671.5	956.6	0
4	8	4.03	7.99	1669.8	1199.3	0
4	10	4.04	10.00	1670.4	1441.3	0
4	12	4.03	12.02	1669.2	1684.0	0
4	14	4.00	14.03	1666.5	1925.3	0
4	16	4.02	16.00	1669.1	2162.7	0
4	18	4.05	18.00	1671.4	2402.7	0
4	20	4.02	20.01	1668.6	2645.3	0
4	22	4.04	22.01	1670.8	2885.9	0
4	24	4.04	24.01	1670.8	3125.5	0
4	26	4.05	26.01	1672.3	3365.9	0
4	28	4.01	28.00	1667.9	3605.8	0
4	30	4.02	30.00	1668.7	3846.4	0
4	32	4.03	32.00	1669.2	4086.7	0
4	34	4.06	33.99	1673.1	4326.3	0
4	36	4.02	36.01	1668.2	4569.3	0
4	38	4.01	38.00	1667.3	4808.4	0
4	40	4.03	40.01	1669.6	5050.8	0
4	42	4.02	42.01	1668.5	5291.3	0
4	44	4.00	44.00	1666.7	5531.0	0
4	46	4.01	45.99	1667.8	5769.6	0
4	48	4.02	47.99	1668.7	6010.8	0
4	50	4.03	50.00	1670.2	6252.3	0
4	52	4.02	52.01	1668.8	6493.6	0
4	54	4.00	53.99	1666.6	6732.1	0
4	56	4.00	55.96	1666.0	6968.6	0
4	58	4.03	57.98	1669.4	7211.9	0
4	60	4.00	59.99	1666.5	7454.1	0
4	62	4.01	61.99	1667.7	7694.2	0
5	1	5.03	0.97	1777.7	355.0	0
5	3	5.00	2.99	1774.2	597.7	0
5	5	5.01	5.00	1775.2	839.4	0
5	7	5.04	6.97	1779.1	1076.5	0
5	9	5.07	8.99	1781.5	1319.7	0
5	11	5.02	11.00	1776.5	1560.7	0
5	13	5.05	13.02	1779.9	1804.4	0
5	15	5.05	15.01	1779.9	2043.6	0
5	17	5.04	17.01	1778.3	2283.6	0
5	19	5.06	18.98	1780.5	2521.3	0
5	21	5.04	21.00	1779.3	2764.1	0
5	23	5.03	23.00	1777.8	3003.9	0
5	25	5.06	25.02	1780.7	3247.0	0
5	27	5.04	27.00	1778.5	3485.6	0
5	29	5.03	28.99	1777.7	3724.9	0
5	31	5.03	30.98	1777.5	3964.6	0
5	33	5.04	33.00	1778.8	4206.9	0
5	35	5.06	35.00	1781.3	4448.4	0
5	37	5.02	37.00	1776.2	4688.8	0
