"sample" "group1" "group2"
"1" "Drug_A_NR_01" "Drug A" "Drug A Non-responder"
"2" "Drug_A_NR_02" "Drug A" "Drug A Non-responder"
"3" "Drug_A_NR_03" "Drug A" "Drug A Non-responder"
"4" "Drug_A_NR_04" "Drug A" "Drug A Non-responder"
"5" "Drug_A_R_01" "Drug A" "Drug A Responder"
"6" "Drug_A_R_02" "Drug A" "Drug A Responder"
"7" "Drug_A_R_03" "Drug A" "Drug A Responder"
"8" "Drug_A_R_04" "Drug A" "Drug A Responder"
"9" "Drug_A_R_05" "Drug A" "Drug A Responder"
"10" "Drug_A_R_06" "Drug A" "Drug A Responder"
"11" "Drug_B_NR_01" "Drug B" "Drug B Non-responder"
"12" "Drug_B_NR_02" "Drug B" "Drug B Non-responder"
"13" "Drug_B_NR_03" "Drug B" "Drug B Non-responder"
"14" "Drug_B_NR_04" "Drug B" "Drug B Non-responder"
"15" "Drug_B_NR_05" "Drug B" "Drug B Non-responder"
"16" "Drug_B_R_01" "Drug B" "Drug B Responder"
"17" "Drug_B_R_02" "Drug B" "Drug B Responder"
"18" "Drug_B_R_03" "Drug B" "Drug B Responder"
"19" "Drug_B_R_04" "Drug B" "Drug B Responder"
"20" "Drug_B_R_05" "Drug B" "Drug B Responder"
"21" "Drug_B_R_06" "Drug B" "Drug B Responder"
"22" "Drug_B_R_07" "Drug B" "Drug B Responder"
"23" "Drug_C_NR_01" "Drug C" "Drug C Non-responder"
"24" "Drug_C_NR_02" "Drug C" "Drug C Non-responder"
"25" "Drug_C_NR_03" "Drug C" "Drug C Non-responder"
"26" "Drug_C_NR_04" "Drug C" "Drug C Non-responder"
"27" "Drug_C_NR_05" "Drug C" "Drug C Non-responder"
"28" "Drug_C_NR_06" "Drug C" "Drug C Non-responder"
"29" "Drug_C_NR_07" "Drug C" "Drug C Non-responder"
"30" "Drug_C_R_01" "Drug C" "Drug C Responder"
"31" "Drug_C_R_02" "Drug C" "Drug C Responder"
"32" "Drug_C_R_03" "Drug C" "Drug C Responder"
"33" "Drug_C_R_04" "Drug C" "Drug C Responder"
"34" "Drug_C_R_05" "Drug C" "Drug C Responder"
"35" "Drug_C_R_06" "Drug C" "Drug C Responder"
"36" "Drug_C_R_07" "Drug C" "Drug C Responder"
"37" "Control_01" "Control" "Control fast"
"38" "Control_02" "Control" "Control fast"
"39" "Control_03" "Control" "Control fast"
"40" "Control_04" "Control" "Control fast"
"41" "Control_05" "Control" "Control fast"
"42" "Control_06" "Control" "Control fast"
"43" "Control_07" "Control" "Control slow"
"44" "Control_08" "Control" "Control slow"
"45" "Control_09" "Control" "Control slow"
"46" "Control_10" "Control" "Control slow"
"47" "Control_11" "Control" "Control slow"
"48" "Control_12" "Control" "Control slow"
"49" "Drug_D_NR_01" "Drug D" "Drug D Non-responder"
"50" "Drug_D_NR_02" "Drug D" "Drug D Non-responder"
"51" "Drug_D_NR_03" "Drug D" "Drug D Non-responder"
"52" "Drug_D_NR_04" "Drug D" "Drug D Non-responder"
"53" "Drug_D_NR_05" "Drug D" "Drug D Non-responder"
"54" "Drug_D_NR_06" "Drug D" "Drug D Non-responder"
"55" "Drug_D_NR_07" "Drug D" "Drug D Non-responder"
"56" "Drug_D_R_01" "Drug D" "Drug D Responder"
"57" "Drug_D_R_02" "Drug D" "Drug D Responder"
"58" "Drug_D_R_03" "Drug D" "Drug D Responder"
"59" "Drug_D_R_04" "Drug D" "Drug D Responder"
"60" "Drug_D_R_05" "Drug D" "Drug D Responder"
"61" "Drug_D_R_06" "Drug D" "Drug D Responder"
"62" "Drug_D_R_07" "Drug D" "Drug D Responder"
"63" "Drug_E_NR_01" "Drug E" "Drug E Non-responder"
"64" "Drug_E_NR_02" "Drug E" "Drug E Non-responder"
"65" "Drug_E_NR_03" "Drug E" "Drug E Non-responder"
"66" "Drug_E_NR_04" "Drug E" "Drug E Non-responder"
"67" "Drug_E_NR_05" "Drug E" "Drug E Non-responder"
"68" "Drug_E_R_01" "Drug E" "Drug E Responder"
"69" "Drug_E_R_02" "Drug E" "Drug E Responder"
"70" "Drug_E_R_03" "Drug E" "Drug E Responder"
"71" "Drug_E_R_04" "Drug E" "Drug E Responder"
"72" "Drug_F_R_01" "Drug F" "Drug F Responder"
"73" "Drug_F_R_02" "Drug F" "Drug F Responder"
"74" "Drug_F_R_03" "Drug F" "Drug F Responder"
"75" "Drug_F_R_04" "Drug F" "Drug F Responder"
"76" "Drug_F_R_05" "Drug F" "Drug F Responder"
